ticker,cik,sec_name,sec_tickers
MSFT,789019,MICROSOFT CORP,MSFT
AAPL,320193,Apple Inc.,AAPL
BRK-B,1067983,BERKSHIRE HATHAWAY INC,"BRK-B,BRK-A"
JNJ,200406,JOHNSON & JOHNSON,JNJ
XOM,34088,EXXON MOBIL CORP,
GOOGL,1288776,GOOGLE INC.,
GOOGL,1652044,Alphabet Inc.,"GOOGL,GOOG,GOOGM,GOOGN"
WMT,104169,Walmart Inc.,WMT
GE,40545,GENERAL ELECTRIC CO,GE
META,1326801,"Meta Platforms, Inc.",META
AMZN,1018724,AMAZON COM INC,AMZN
JPM,19617,JPMORGAN CHASE & CO,"JPM,JPM-PC,AMJB,JPM-PD,JPM-PJ,JPM-PK,JPM-PL,JPM-PM,VYLD"
PG,80424,PROCTER & GAMBLE Co,PG
T,732717,AT&T INC.,"T,TBB,T-PA,T-PC"
CVX,93410,CHEVRON CORP,CVX
V,1403161,VISA INC.,V
IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP,IBM
TSLA,1318605,"Tesla, Inc.",TSLA
NVDA,1045810,NVIDIA CORP,NVDA
WFC,72971,WELLS FARGO & COMPANY/MN,"WFC,WFC-PY,WFC-PL,WFC-PC,WFCNP,WFC-PA,WFC-PD,WFC-PZ"
BAC,70858,BANK OF AMERICA CORP /DE/,"BAC,BML-PG,BML-PL,BAC-PB,BAC-PK,BAC-PE,BAC-PL,BAC-PM,BAC-PN,BAC-PO,BAC-PP,BAC-PQ,BAC-PS,BACRP,BML-PH,BML-PJ,MER-PK"
AVGO,1730168,Broadcom Inc.,AVGO
C,831001,CITIGROUP INC,"C,C-PN,C-PR"
LLY,59478,ELI LILLY & Co,LLY
UNH,731766,UNITEDHEALTH GROUP INC,UNH
PFE,78003,PFIZER INC,PFE
AIG,5272,"AMERICAN INTERNATIONAL GROUP, INC.",AIG
MO,764180,"ALTRIA GROUP, INC.",MO
CSCO,858877,"CISCO SYSTEMS, INC.",CSCO
KO,21344,COCA COLA CO,KO
MA,1141391,Mastercard Inc,MA
